i	area_T
IMG_0910_C_3	15.1832782130278
IMG_0910_C_4	4.32470591846287
IMG_0910_C	42.6393290413671
IMG_0911_C	1.01982447532888
IMG_0912_C_2	30.0906259644791
IMG_0912_C	14.2403411801016
IMG_0913_C_2	6.51150429037892
IMG_0913_C_3	11.1967499430481
IMG_0913_C	1.74576657301238
IMG_0914_C_2	11.8550075287377
IMG_0914_C	7.36806346175034
IMG_0915_C_2	108.501155496864
IMG_0915_C	9.45765012288617
IMG_0916_C	77.3623783266985
IMG_0917_C_2	23.3782214705808
IMG_0917_C_3	42.2230355655401
IMG_0917_C_4	49.8397152737461
IMG_0917_C_5	32.129515107151
IMG_0917_C_6	48.152308352475
IMG_0917_C_7	76.7669182421687
IMG_0917_C	59.321755811899
IMG_0918_C_2	2.6593273591941
IMG_0918_C_3	36.5043950267124
IMG_0918_C_4	2.91636612589704
IMG_0918_C	5.44427057227038
IMG_0919_C_2	3.08729892761394
IMG_0919_C_3	2.84794767495609
IMG_0919_C_4	13.4269263659055
IMG_0919_C_5	26.6530692428584
IMG_0919_C_6	52.7225663307755
IMG_0919_C_7	5.54696889155958
IMG_0919_C	1.20152306554498
IMG_0920_C_2	42.172975508315
IMG_0920_C	149.134043255292
IMG_0921_C	11.4174158215609
IMG_0922_C_2	71.3879916847802
IMG_0922_C	13.004550348386
IMG_0923_C_2	3.44321921367127
IMG_0923_C_3	87.9770221118875
IMG_0923_C	121.802725015877
IMG_0924_C_2	31.8885459774146
IMG_0924_C_3	119.20460124851
IMG_0924_C_4	21.0920951111734
IMG_0924_C_5	2.58259100792593
IMG_0924_C	30.5078207196465
IMG_0925_C_2	138.875419570715
IMG_0925_C_3	42.4691965711713
IMG_0925_C_4	1.06195246348884
IMG_0925_C_5	3.38955537286156
IMG_0925_C_6	18.9716655582843
IMG_0925_C_7	291.333671957229
IMG_0925_C_8	19.3806324586713
IMG_0925_C	6.09418282548476
IMG_0926_C_2	56.9292584244495
IMG_0926_C_3	41.5629506222963
IMG_0926_C_4	475.292248246508
IMG_0926_C_5	34.777891332652
IMG_0926_C_6	28.9973260160439
IMG_0926_C	1.78568928586428
